#{"t_start": 1767880711.5722404, "env_id": "None"}
r,l,t
78.0,78,12.984058
54.0,54,13.023228
144.0,144,15.060462
65.0,65,15.130481
94.0,94,15.218613
52.0,52,15.258507
53.0,53,15.296333
128.0,128,15.387282
180.0,180,15.525167
176.0,176,15.666909
116.0,116,15.758367
112.0,112,15.837105
176.0,176,15.969456
106.0,106,16.053924
165.0,165,16.171237
105.0,105,16.244839
60.0,60,16.309802
140.0,140,16.495927
101.0,101,16.610449
23.0,23,16.636306
59.0,59,18.649602
155.0,155,18.814246
100.0,100,18.909665
277.0,277,19.108015
139.0,139,19.207094
221.0,221,19.36811
83.0,83,19.42938
145.0,145,19.544586
131.0,131,19.636779
122.0,122,19.728199
99.0,99,19.791321
172.0,172,19.919291
348.0,348,20.167188
347.0,347,22.621347
135.0,135,22.726499
141.0,141,22.851207
154.0,154,22.96753
533.0,533,23.360416
148.0,148,23.473359
194.0,194,23.626863
92.0,92,23.706542
242.0,242,23.887468
93.0,93,23.968355
147.0,147,26.096298
250.0,250,26.31493
195.0,195,26.459569
218.0,218,26.647921
195.0,195,26.783048
238.0,238,26.970756
145.0,145,27.082855
199.0,199,27.239397
158.0,158,27.445101
116.0,116,27.591292
150.0,150,27.735647
186.0,186,29.946952
210.0,210,30.140411
194.0,194,30.285749
276.0,276,30.532932
299.0,299,30.774419
188.0,188,30.928833
412.0,412,31.236431
196.0,196,31.376558
187.0,187,33.626857
268.0,268,33.883712
236.0,236,34.067046
203.0,203,34.217088
288.0,288,34.432169
271.0,271,34.646824
226.0,226,34.826918
460.0,460,35.198771
432.0,432,37.583377
245.0,245,37.760764
727.0,727,38.268866
468.0,468,38.78647
277.0,277,40.95671
424.0,424,41.312733
340.0,340,41.583767
695.0,695,42.104266
503.0,503,42.567208
631.0,631,45.337116
2029.0,2029,49.037084
